slugA,slugB,bodyJaccard,titleSim,indexableA,indexableB,clicksA,clicksB,imprA,imprB,tierA,tierB,recommendedCanonical
practice-room-samsong1,practice-room-wonheung1,0.6272,0.667,true,true,2,0,9,0,KEEP,NOINDEX_CANDIDATE,practice-room-samsong1
practice-room-jeungsan1,practice-room-saejeol1,0.6007,0.818,true,true,0,1,6,5,WATCH_LOW,KEEP,practice-room-jeungsan1
practice-room-guitar-finger-vibrato1,practice-room-guitar-vibrato1,0.5941,0.154,true,true,1,1,54,37,KEEP,KEEP,practice-room-guitar-finger-vibrato1
practice-room-dokbawi1,practice-room-eungam1,0.5631,0.667,true,true,0,1,11,8,WATCH,KEEP,practice-room-dokbawi1
practice-room-mangwon1,practice-room-worldcup1,0.5551,0.833,true,false,,,,,,,practice-room-mangwon1
practice-room-jichuk1,practice-room-wondang1,0.5474,0.667,true,true,2,0,15,11,KEEP,WATCH,practice-room-jichuk1
practice-room-jichuk1,practice-room-samsong1,0.5365,0.667,true,true,2,2,15,9,KEEP,KEEP,practice-room-jichuk1
practice-room-jichuk1,practice-room-wonheung1,0.5335,0.667,true,true,2,0,15,0,KEEP,NOINDEX_CANDIDATE,practice-room-jichuk1
practice-room-samsong1,practice-room-wondang1,0.5323,0.667,true,true,2,0,9,11,KEEP,WATCH,practice-room-wondang1
practice-room-wondang1,practice-room-wonheung1,0.5244,0.667,true,true,0,0,11,0,WATCH,NOINDEX_CANDIDATE,practice-room-wondang1
practice-room-hapjeong1,practice-room-mangwon1,0.5171,0.769,true,true,,,,,,,practice-room-hapjeong1
practice-room-jeungsan1,practice-room-jichuk1,0.5091,0.538,true,true,0,2,6,15,WATCH_LOW,KEEP,practice-room-jichuk1
practice-room-dokbawi1,practice-room-jeungsan1,0.5024,0.667,true,true,0,0,11,6,WATCH,WATCH_LOW,practice-room-dokbawi1
practice-room-gupabal1,practice-room-wonheung1,0.4974,0.667,true,true,1,0,6,0,KEEP,NOINDEX_CANDIDATE,practice-room-gupabal1
practice-room-dokbawi1,practice-room-saejeol1,0.4963,0.667,true,true,0,1,11,5,WATCH,KEEP,practice-room-dokbawi1
practice-room-gupabal1,practice-room-samsong1,0.4959,0.667,true,true,1,2,6,9,KEEP,KEEP,practice-room-samsong1
practice-room-hwajong1,practice-room-worldcup1,0.4939,0.692,false,false,,,,,,,practice-room-worldcup1
practice-room-hapjeong1,practice-room-worldcup1,0.4913,0.769,true,false,,,,,,,practice-room-hapjeong1
