slugA,slugB,bodyJaccard,titleSim,indexableA,indexableB,clicksA,clicksB,imprA,imprB,tierA,tierB,recommendedCanonical
practice-room-samsong1,practice-room-wonheung1,0.6187,0.667,true,true,2,0,9,0,KEEP,NOINDEX_CANDIDATE,practice-room-samsong1
practice-room-jeungsan1,practice-room-saejeol1,0.5918,0.818,true,true,0,1,6,5,WATCH_LOW,KEEP,practice-room-jeungsan1
practice-room-mangwon1,practice-room-worldcup1,0.5551,0.833,true,false,,,,,,,practice-room-mangwon1
practice-room-dokbawi1,practice-room-eungam1,0.5540,0.667,true,true,0,1,11,8,WATCH,KEEP,practice-room-dokbawi1
practice-room-jichuk1,practice-room-wondang1,0.5367,0.667,true,true,2,0,15,11,KEEP,WATCH,practice-room-jichuk1
practice-room-jichuk1,practice-room-samsong1,0.5259,0.667,true,true,2,2,15,9,KEEP,KEEP,practice-room-jichuk1
practice-room-jichuk1,practice-room-wonheung1,0.5226,0.667,true,true,2,0,15,0,KEEP,NOINDEX_CANDIDATE,practice-room-jichuk1
practice-room-samsong1,practice-room-wondang1,0.5216,0.667,true,true,2,0,9,11,KEEP,WATCH,practice-room-wondang1
practice-room-hapjeong1,practice-room-mangwon1,0.5171,0.769,true,true,,,,,,,practice-room-hapjeong1
practice-room-wondang1,practice-room-wonheung1,0.5129,0.667,true,true,0,0,11,0,WATCH,NOINDEX_CANDIDATE,practice-room-wondang1
practice-room-jeungsan1,practice-room-jichuk1,0.4980,0.538,true,true,0,2,6,15,WATCH_LOW,KEEP,practice-room-jichuk1
practice-room-hwajong1,practice-room-worldcup1,0.4939,0.692,false,false,,,,,,,practice-room-worldcup1
practice-room-dokbawi1,practice-room-jeungsan1,0.4914,0.667,true,true,0,0,11,6,WATCH,WATCH_LOW,practice-room-dokbawi1
practice-room-hapjeong1,practice-room-worldcup1,0.4913,0.769,true,false,,,,,,,practice-room-hapjeong1
practice-room-daehwa1,practice-room-hwajong1,0.4872,0.769,false,false,,,,,,,practice-room-daehwa1
practice-room-hapjeong1,practice-room-hwajong1,0.4867,0.643,true,false,,,,,,,practice-room-hapjeong1
practice-room-gupabal1,practice-room-wonheung1,0.4863,0.667,true,true,1,0,6,0,KEEP,NOINDEX_CANDIDATE,practice-room-gupabal1
practice-room-dokbawi1,practice-room-saejeol1,0.4852,0.667,true,true,0,1,11,5,WATCH,KEEP,practice-room-dokbawi1
practice-room-gupabal1,practice-room-samsong1,0.4849,0.667,true,true,1,2,6,9,KEEP,KEEP,practice-room-samsong1
practice-room-hwajong1,practice-room-mangwon1,0.4791,0.692,false,true,,,,,,,practice-room-mangwon1
practice-room-eungam1,practice-room-jeungsan1,0.4783,0.667,true,true,1,0,8,6,KEEP,WATCH_LOW,practice-room-eungam1
practice-room-jichuk1,practice-room-saejeol1,0.4757,0.538,true,true,2,1,15,5,KEEP,KEEP,practice-room-jichuk1
practice-room-gupabal1,practice-room-jichuk1,0.4734,0.667,true,true,1,2,6,15,KEEP,KEEP,practice-room-jichuk1
practice-room-dokbawi1,practice-room-yeokchon1,0.4704,0.667,true,true,0,0,11,4,WATCH,WATCH_LOW,practice-room-dokbawi1
practice-room-eungam1,practice-room-saejeol1,0.4673,0.667,true,true,1,1,8,5,KEEP,KEEP,practice-room-eungam1
practice-room-eungam1,practice-room-yeokchon1,0.4668,0.667,true,true,1,0,8,4,KEEP,WATCH_LOW,practice-room-eungam1
practice-room-dokbawi1,practice-room-jichuk1,0.4632,0.538,true,true,0,2,11,15,WATCH,KEEP,practice-room-jichuk1
practice-room-dokbawi1,practice-room-gusan1,0.4597,0.818,true,true,0,0,11,8,WATCH,WATCH_LOW,practice-room-dokbawi1
practice-room-jeungsan1,practice-room-wondang1,0.4563,0.538,true,true,0,0,6,11,WATCH_LOW,WATCH,practice-room-wondang1
practice-room-dokbawi1,practice-room-gupabal1,0.4543,0.667,true,true,0,1,11,6,WATCH,KEEP,practice-room-dokbawi1
practice-room-saejeol1,practice-room-wondang1,0.4542,0.538,true,true,1,0,5,11,KEEP,WATCH,practice-room-wondang1
